3.523	542.463	72.402	0.779	4.000	40.000	0.058	0.029	0.082	0.351	0.041	0.061
4.523	573.043	220.407	0.787	5.000	45.455	0.047	0.026	0.064	0.399	0.036	0.049
5.267	151.766	11.143	0.865	5.000	55.556	0.061	0.023	0.088	0.263	0.033	0.064
3.825	219.295	6.905	0.820	4.000	36.364	0.068	0.028	0.096	0.287	0.039	0.071
3.540	583.827	564.604	0.826	5.000	50.000	0.060	0.030	0.084	0.359	0.043	0.063
2.709	407.858	437.103	0.827	5.000	50.000	0.065	0.034	0.088	0.379	0.047	0.067
2.973	183.001	52.776	0.855	2.000	22.222	0.046	0.032	0.057	0.563	0.046	0.046
2.550	1277.788	1135.924	0.855	5.000	50.000	0.054	0.035	0.072	0.483	0.049	0.056
2.511	770.678	1025.632	0.845	4.000	40.000	0.052	0.036	0.067	0.541	0.051	0.054
9.981	202.794	24.345	0.812	2.000	20.000	0.039	0.017	0.054	0.305	0.024	0.040
2.201	1219.762	11.971	0.832	7.000	70.000	0.076	0.038	0.105	0.358	0.053	0.079
2.924	363.576	78.916	0.821	4.000	36.364	0.068	0.029	0.095	0.308	0.042	0.071
3.479	868.182	35.724	0.778	3.000	27.273	0.057	0.028	0.079	0.349	0.039	0.059
5.242	206.589	18.794	0.843	4.000	44.444	0.056	0.023	0.080	0.281	0.032	0.059
5.436	714.041	-32.513	0.837	4.000	40.000	0.044	0.023	0.061	0.373	0.032	0.046
2.656	855.571	18.939	0.835	5.000	50.000	0.072	0.032	0.102	0.317	0.046	0.076
4.264	684.988	217.974	0.840	4.000	40.000	0.049	0.024	0.068	0.354	0.034	0.051
5.066	260.592	12.544	0.837	2.000	20.000	0.044	0.022	0.062	0.350	0.031	0.046
3.178	1062.915	416.786	0.845	5.000	50.000	0.067	0.033	0.094	0.351	0.047	0.071
3.518	890.655	49.420	0.818	6.000	54.545	0.062	0.027	0.088	0.311	0.039	0.065
3.973	767.003	164.972	0.851	3.000	33.333	0.059	0.026	0.084	0.306	0.036	0.062
2.519	783.305	560.335	0.862	7.000	70.000	0.070	0.033	0.099	0.333	0.046	0.074
3.917	107.195	5.321	0.876	4.000	44.444	0.069	0.030	0.098	0.306	0.043	0.073
1.858	1963.314	52.100	0.858	8.000	80.000	0.110	0.046	0.157	0.291	0.065	0.116
2.051	352.954	521.489	0.833	4.000	40.000	0.073	0.038	0.099	0.385	0.054	0.075
5.061	448.977	139.758	0.753	6.000	54.545	0.058	0.027	0.081	0.330	0.038	0.060
0.613	14456.751	1443.886	0.800	7.000	63.636	0.225	0.102	0.318	0.321	0.144	0.236
4.428	644.294	146.386	0.803	4.000	40.000	0.050	0.024	0.071	0.346	0.035	0.053
3.865	461.354	284.375	0.833	5.000	50.000	0.058	0.027	0.083	0.320	0.038	0.062
1.780	2458.483	146.426	0.807	7.000	63.636	0.099	0.044	0.141	0.311	0.062	0.104
2.971	842.160	69.217	0.818	4.000	40.000	0.073	0.031	0.105	0.291	0.043	0.077
5.757	358.674	41.285	0.813	2.000	20.000	0.041	0.019	0.058	0.332	0.027	0.043
5.157	605.785	169.252	0.799	2.000	18.182	0.036	0.022	0.049	0.439	0.030	0.038
4.926	581.887	227.151	0.776	2.000	18.182	0.039	0.022	0.053	0.420	0.032	0.041
6.313	512.131	76.110	0.796	0.000	0.000	0.030	0.021	0.039	0.522	0.029	0.031
2.378	1104.042	310.650	0.794	4.000	36.364	0.063	0.036	0.086	0.420	0.051	0.066
3.746	330.843	25.053	0.837	4.000	40.000	0.055	0.028	0.075	0.368	0.039	0.056
1.300	1995.235	199.325	0.821	5.000	50.000	0.119	0.052	0.170	0.303	0.073	0.126
3.238	487.135	117.086	0.816	3.000	30.000	0.069	0.029	0.099	0.292	0.041	0.073
0.905	10168.342	3589.080	0.749	5.000	41.667	0.173	0.108	0.232	0.464	0.152	0.181
3.127	634.294	19.087	0.833	5.000	50.000	0.071	0.029	0.102	0.281	0.041	0.075
2.716	474.043	-5.821	0.821	6.000	60.000	0.079	0.032	0.113	0.288	0.046	0.083
7.008	82.492	42.941	0.780	4.000	36.364	0.047	0.020	0.066	0.297	0.028	0.049
1.973	372.084	393.999	0.820	3.000	30.000	0.067	0.040	0.086	0.468	0.057	0.067
3.540	428.731	449.978	0.808	2.000	20.000	0.059	0.029	0.083	0.349	0.041	0.062
2.335	663.696	564.825	0.831	4.000	40.000	0.064	0.034	0.089	0.380	0.048	0.068
2.944	1177.822	637.156	0.838	3.000	30.000	0.051	0.032	0.069	0.468	0.046	0.054
2.060	618.438	314.376	0.769	6.000	54.545	0.061	0.036	0.082	0.439	0.051	0.064
4.320	887.215	154.567	0.777	2.000	18.182	0.036	0.026	0.045	0.568	0.037	0.037
2.975	422.235	257.309	0.804	3.000	27.273	0.041	0.030	0.052	0.585	0.043	0.042
8.792	296.207	25.199	0.807	2.000	20.000	0.037	0.018	0.052	0.340	0.025	0.039
5.453	182.006	92.429	0.821	2.000	18.182	0.041	0.018	0.058	0.312	0.025	0.043
3.889	428.354	116.673	0.792	3.000	30.000	0.056	0.028	0.077	0.365	0.040	0.058
1.956	1533.107	470.172	0.849	5.000	50.000	0.076	0.039	0.106	0.367	0.055	0.080
