2.439	324.745	392.274	0.811	12.000	36.364	0.052	0.028	0.069	0.402	0.039	0.053
2.641	121.647	411.770	0.798	15.000	41.667	0.054	0.027	0.073	0.371	0.038	0.055
1.450	1470.177	372.531	0.774	21.000	56.757	0.082	0.043	0.109	0.397	0.061	0.083
1.725	754.393	879.977	0.801	18.000	51.429	0.073	0.037	0.097	0.384	0.053	0.074
1.805	681.333	110.946	0.801	12.000	33.333	0.066	0.033	0.088	0.372	0.046	0.067
3.368	404.067	170.645	0.809	16.000	45.714	0.055	0.025	0.075	0.328	0.035	0.056
4.505	214.691	146.032	0.789	10.000	27.778	0.042	0.022	0.056	0.387	0.030	0.042
2.191	544.376	383.580	0.780	15.000	41.667	0.059	0.032	0.077	0.411	0.045	0.059
2.540	416.808	690.180	0.804	15.000	41.667	0.057	0.031	0.076	0.404	0.043	0.058
3.157	314.126	210.600	0.820	9.000	26.471	0.049	0.026	0.065	0.391	0.036	0.050
2.093	188.159	166.401	0.796	16.000	44.444	0.067	0.032	0.090	0.360	0.046	0.068
2.047	415.587	633.952	0.776	14.000	37.838	0.064	0.033	0.085	0.385	0.046	0.065
0.675	401.398	355.879	0.739	15.000	39.474	0.171	0.098	0.224	0.437	0.138	0.173
0.786	3587.572	2335.326	0.829	16.000	47.059	0.082	0.050	0.107	0.471	0.071	0.083
1.481	582.587	584.410	0.780	15.000	40.541	0.062	0.039	0.080	0.492	0.056	0.063
3.631	211.944	306.732	0.829	14.000	41.176	0.056	0.025	0.076	0.330	0.035	0.057
1.685	311.268	298.657	0.827	15.000	44.118	0.055	0.036	0.070	0.512	0.051	0.056
0.925	3988.948	2513.294	0.823	18.000	51.429	0.097	0.050	0.130	0.388	0.071	0.099
