0.794	2617.164	1642.744	0.767	15.000	68.182	0.133	0.062	0.181	0.345	0.088	0.136
0.203	13210.192	3965.925	0.704	13.000	48.148	0.184	0.180	0.193	0.933	0.255	0.187
0.096	81825.957	19658.839	0.678	26.000	96.296	0.465	0.212	0.636	0.333	0.300	0.474
0.195	16854.974	1990.911	0.761	22.000	88.000	0.220	0.118	0.294	0.402	0.167	0.224
0.583	1458.187	2739.200	0.879	13.000	65.000	0.178	0.078	0.245	0.319	0.111	0.182
1.023	902.341	453.413	0.832	12.000	54.545	0.091	0.052	0.121	0.433	0.074	0.093
0.139	23313.755	18062.889	0.801	22.000	91.667	0.212	0.142	0.270	0.527	0.201	0.216
0.149	4459.826	10409.536	0.854	16.000	76.190	0.269	0.173	0.349	0.496	0.245	0.275
0.079	158094.880	33280.102	0.872	16.000	76.190	0.576	0.265	0.791	0.335	0.375	0.590
0.136	28155.526	3013.728	0.853	18.000	81.818	0.298	0.169	0.396	0.428	0.240	0.304
0.240	8359.502	9851.713	0.776	16.000	69.565	0.212	0.143	0.269	0.532	0.202	0.216
1.187	2592.124	1213.731	0.913	12.000	60.000	0.092	0.048	0.125	0.384	0.068	0.094
0.345	5836.648	5494.779	0.722	14.000	53.846	0.166	0.103	0.216	0.475	0.145	0.169
1.962	1078.384	170.624	0.730	10.000	40.000	0.059	0.036	0.078	0.455	0.050	0.061
1.281	1572.176	1291.398	0.819	9.000	40.909	0.082	0.048	0.108	0.443	0.068	0.083
0.303	9919.951	4154.105	0.793	16.000	66.667	0.194	0.101	0.261	0.388	0.143	0.198
1.343	1071.438	765.217	0.858	14.000	66.667	0.095	0.044	0.130	0.341	0.063	0.097
0.358	4884.424	1130.352	0.803	13.000	56.522	0.186	0.106	0.247	0.428	0.149	0.190
0.538	4347.286	2483.278	0.810	19.000	82.609	0.151	0.074	0.206	0.357	0.104	0.155
3.136	453.384	179.884	0.734	10.000	40.000	0.060	0.029	0.081	0.355	0.041	0.061
0.893	1485.476	428.114	0.624	15.000	51.724	0.129	0.071	0.172	0.416	0.101	0.131
1.306	2811.389	229.834	0.896	12.000	57.143	0.075	0.045	0.099	0.451	0.063	0.077
0.781	1971.043	5323.974	0.786	14.000	60.870	0.073	0.069	0.079	0.873	0.097	0.074
0.672	6592.581	5456.238	0.975	11.000	61.111	0.111	0.076	0.143	0.535	0.108	0.115
0.989	1442.824	1167.642	0.955	8.000	42.105	0.083	0.052	0.108	0.479	0.073	0.085
0.940	3891.263	506.440	0.888	16.000	76.190	0.090	0.050	0.120	0.418	0.071	0.092
1.635	1748.497	285.463	0.896	11.000	55.000	0.076	0.039	0.103	0.379	0.055	0.078
