0.8070	0.5060
1.3730	0.5660
1.9660	0.5930
2.5440	0.5780
3.1700	0.6260
3.8700	0.7000
4.5000	0.6300
5.0760	0.5760
5.7390	0.6630
6.4150	0.6760
7.0670	0.6520
7.7180	0.6510
8.3640	0.6460
8.9630	0.5990
9.5630	0.6000
10.0840	0.5210
10.6570	0.5730
11.2750	0.6180
11.9020	0.6270
12.5830	0.6810
13.2150	0.6320
13.7810	0.5660
14.3540	0.5730
14.9480	0.5940
15.6010	0.6530
16.2570	0.6560
16.9040	0.6470
17.5420	0.6380
18.1010	0.5590
18.7590	0.6580
19.3600	0.6010
20.0310	0.6710
20.7020	0.6710
21.3220	0.6200
21.9240	0.6020
22.6080	0.6840
23.2950	0.6870
23.8840	0.5890
24.5410	0.6570
24.7490	0.2080
25.1260	0.3770
25.6980	0.5720
26.2610	0.5630
26.8160	0.5550
27.3790	0.5630
27.9710	0.5920
28.5970	0.6260
29.1930	0.5960
29.8640	0.6710
30.5510	0.6870
31.2710	0.7200
31.9780	0.7070
32.5800	0.6020
33.2000	0.6200
33.8470	0.6470
34.5460	0.6990
35.2050	0.6590
35.8350	0.6300
36.4870	0.6520
37.1520	0.6650
37.8310	0.6790
38.4440	0.6130
39.0980	0.6540
39.7760	0.6780
40.4710	0.6950
41.1180	0.6470
41.7490	0.6310
42.3730	0.6240
43.1080	0.7350
43.7430	0.6350
44.3250	0.5820
44.9730	0.6480
45.6280	0.6550
46.2170	0.5890
46.8670	0.6500
47.5000	0.6330
48.1860	0.6860
48.8310	0.6450
49.4640	0.6330
50.1050	0.6410
50.8020	0.6970
51.4930	0.6910
52.1050	0.6120
52.7010	0.5960
53.3590	0.6580
54.0150	0.6560
54.6320	0.6170
55.2230	0.5910
55.8860	0.6630
56.5640	0.6780
57.2510	0.6870
57.9020	0.6510
58.5020	0.6000
59.1550	0.6530
59.8250	0.6700
60.4610	0.6360
61.0720	0.6110
61.7370	0.6650
62.3280	0.5910
62.9250	0.5970
63.5860	0.6610
64.2340	0.6480
64.8680	0.6340
65.4720	0.6040
66.0830	0.6110
66.7420	0.6590
67.3840	0.6420
67.9800	0.5960
68.6160	0.6360
69.2780	0.6620
69.8940	0.6160
70.4520	0.5580
71.0640	0.6120
71.7080	0.6440
72.3130	0.6050
72.9220	0.6090
73.5610	0.6390
74.2060	0.6450
74.7780	0.5720
75.4060	0.6280
76.0670	0.6610
76.6750	0.6080
77.3230	0.6480
78.0000	0.6770
78.6810	0.6810
79.3120	0.6310
79.9610	0.6490
80.6060	0.6450
81.1970	0.5910
81.8570	0.6600
82.5000	0.6430
83.1590	0.6590
83.7860	0.6270
84.3600	0.5740
84.9520	0.5920
85.5450	0.5930
86.1430	0.5980
86.7200	0.5770
87.3340	0.6140
88.0110	0.6770
88.6880	0.6770
89.3210	0.6330
89.9280	0.6070
90.4870	0.5590
91.0710	0.5840
91.6570	0.5860
92.2620	0.6050
92.8690	0.6070
93.5020	0.6330
94.0900	0.5880
94.6580	0.5680
95.2420	0.5840
95.8580	0.6160
96.4150	0.5570
96.9540	0.5390
97.5340	0.5800
98.1470	0.6130
98.7600	0.6130
99.3910	0.6310
99.9960	0.6050
100.6020	0.6060
101.2500	0.6480
